#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
99	1.7149999999999999	0.057166666666666664	-93.29561711512874	0.14592500000000005	9.08	0.4127272727272727	-21.991037714382827	4.33905	0.35699999999999993	0.4591666666666667	3.5699999999999994	5.510000000000001
100	1.4200000000000002	0.03302325581395349	-165.48128211895943	0.08705	12.204999999999998	0.38140624999999995	-32.7295637794952	5.1462249999999985	0.4115789473684211	0.3373076923076923	7.820000000000001	4.385
101	0.5200000000000001	0.015757575757575762	-142.34571397449366	0.010850000000000002	4.78	0.1991666666666667	-42.05490736482319	1.1554	0.18136363636363637	0.21423076923076925	1.9949999999999999	2.785
102	0.6200000000000001	0.02066666666666667	-128.77624078770947	0.026650000000000004	7.8450000000000015	0.3138000000000001	-38.57610818223047	3.5907250000000004	0.14791666666666667	0.46692307692307694	1.7750000000000001	6.07
103	1.3599999999999999	0.04121212121212121	-121.861530388882	0.11900000000000004	8.934999999999999	0.3309259259259259	-33.2938413384589	3.708325	0.24821428571428567	0.42	3.474999999999999	5.46
104	2.235	0.08277777777777777	-72.85662085971039	0.24797500000000006	10.205	0.44369565217391305	-20.088642274400367	4.938274999999999	0.4495833333333334	0.43727272727272726	5.3950000000000005	4.81
105	1.645	0.048382352941176474	-106.12736186331203	0.09212500000000003	7.795000000000001	0.35431818181818187	-25.8012525781354	3.466475	0.30416666666666664	0.41450000000000004	3.6499999999999995	4.1450000000000005
106	0.3500000000000001	0.009722222222222224	-172.95203605910376	0.00485	4.955000000000001	0.17086206896551728	-56.24476809600559	1.0593750000000002	0.12100000000000001	0.22428571428571428	1.8150000000000002	3.14
107	0.7850000000000005	0.01962500000000001	-165.2455851015736	0.020325000000000003	8.319999999999999	0.28689655172413786	-39.69613328844938	2.888550000000001	0.4041666666666666	0.20411764705882351	4.85	3.4699999999999998
108	0.6700000000000002	0.018611111111111116	-156.1831569372818	0.0256	7.915000000000001	0.28267857142857145	-48.51170509331057	3.4064750000000004	0.16166666666666665	0.42230769230769233	2.425	5.49
109	3.5399999999999996	0.08232558139534883	-118.8873384293262	0.40369999999999995	13.495	0.4353225806451613	-28.91101503144724	6.488074999999999	0.4750000000000001	0.40264705882352947	6.650000000000001	6.845000000000001
110	0.7950000000000003	0.019875000000000007	-166.74906838915342	0.029974999999999998	5.075000000000001	0.16916666666666672	-60.08774242614923	1.2091250000000002	0.13343750000000001	0.21000000000000002	2.1350000000000002	2.9400000000000004
111	2.895	0.072375	-119.13712924433258	0.313225	11.98	0.4131034482758621	-27.754859237125405	5.497099999999999	0.46714285714285714	0.36266666666666664	6.54	5.4399999999999995
112	0.46500000000000014	0.020217391304347833	-95.59753909708323	0.016674999999999995	6.325000000000001	0.30119047619047623	-30.019833398370242	2.6886750000000004	0.136	0.4513636363636364	1.36	4.965000000000001
113	4.735	0.10293478260869567	-109.75194264346506	0.5637250000000001	12.645	0.36128571428571427	-39.71446424451578	5.394824999999998	0.4216666666666667	0.29735294117647054	7.590000000000001	5.054999999999999
114	0.5550000000000002	0.022200000000000008	-102.07156073950857	0.023524999999999994	5.810000000000001	0.2766666666666667	-37.59623751413947	2.7606	0.12538461538461537	0.5225000000000001	1.6299999999999997	4.180000000000001
115	2.5400000000000005	0.08758620689655174	-73.64830605419782	0.26544999999999996	10.919999999999995	0.4367999999999998	-22.37827606409182	5.255449999999998	0.4516666666666667	0.41450000000000004	6.775	4.1450000000000005
116	1.7600000000000002	0.05866666666666667	-93.67706634412511	0.16315000000000004	10.549999999999999	0.43958333333333327	-20.89900552686947	5.031149999999999	0.4163636363636364	0.4592307692307693	4.58	5.970000000000001
